,test data,actual topic,predicted topic
13,"glynwed international plc <glyn.l> 1986 year shr, net basis 27.47p vs 22.15p     div 6.5p vs 5.4p making 10.1p vs 8.4p     pretax profit 46.1 mln stg vs 35.6 mln     net after tax 30 mln vs 23.3 mln     extraordinary items debit 3.8 mln vs debit 2.3 mln     interest payable 2.7 mln vs 4.0 mln     net borrowings 7.6 mln vs 16.1 mln     turnover 478.9 mln vs 464.1 mln  reuter ;","('earn',)","('earn',)"
14,"coffee conference ends with call to continue talks a meeting of eight latin american coffee producers ended with a call for continued talks aimed at arriving at an agreement to stabilize international prices.     a statement delivered by the conference's president, nicaragua's external trade minister alejandro martinez cuenca, said the object of future meetings would be to seek negotiations leading to basic export quotas.     the meeting was attended by representatives from brazil, mexico, guatemala, el salvador, honduras, costa rica and nicaragua. a panamanian representative attended the meeting as an observer.     representatives at the meeting said efforts would continue to be made to reach a regional consensus on export quotas which could be presented to the international coffee organization.     in opening the meeting, nicaraguan president daniel ortega said the lack of an accord on export quotas was behind falling coffee prices, which he said have caused billions of dollars in losses to countries in the region.     jorio dauster, president of the brazilian coffee institute, said his government is committed to working towards an producers accord in order to bring about higher prices.  reuter ;","('coffee',)","('coffee',)"
15,"group trims material sciences <msc> stake an investor group led by central national-gottesman inc, a new york investment firm, and its executive vice president, edgar wachenheim, said they cut their stake in material sciences corp to less than five pct.     in a filing with the securities and exchange commission, the group said it sold 19,500 material sciences common shares between feb 11 and 19 at prices ranging from 24.00 to 27.648 dlrs a share, leaving it with 239,500 shares, or 4.7 pct.     as long as the group's stake remains below five pct, it is not required to disclose further dealings in material sciences common stock.  reuter ;","('acq',)","('acq',)"
16,"emhart corp <emh> set to increase earnings emhart corp said it plans to increase worldwide revenues and earnings at an annual compounded growth rate of 15 pct and about 13 pct, respectively.     it said these objectives were based on several assumptions, including a four pct average inflation rate through 1989 and a two pct to three pct gnp real growth.     in 1986, emhart reported a net loss of 10 mln dlrs or 35 cts a share, after a 90 mln after-tax restructuring charge, which realigned the company's assets.     emhart has divested itself of many of its units to focus on three primary markets--industrial products, consumer products, and information and electronic systems.     emhart said industrial products should account for about 62 pct of projected 1987 revenues of 2.3 billion dlrs, while consumer products should account for about 20 pct of those revenues and information and electronic systems about 18 pct.  reuter ;","('earn',)","('earn',)"
17,"u.k. money market given further 68 mln stg help the bank of england said it provided the market with a further 68 mln stg assistance this afternoon, bringing its total assistance on the day to 143 mln stg.    shortly before, the bank said it had revised its estimate of the shortage up to 450 mln stg from the earlier forecast of 400 mln.     during the afternoon, the bank bought 22 mln stg of band two bank bills at 9-13/16 pct and two mln stg of local authority bills plus 44 mln stg of bank bills in band four at 9-11/16 pct. these rates were in all cases unchanged from previous intervention levels.  reuter ;","('money-fx',)","('interest', 'money-fx')"
18,"wall street stocks/ual inc <ual> takeover speculation continues to fuel heavy trading in ual inc, traders said.     ual rose 1-5/8 to 73-5/8 on volume of more than two mln shares, after trading with little upward movement earlier in the session.     traders said rumors, which began yesterday, added to speculation that the company would be the target of a takeover.     they said it was believed coniston partners and the pritzker family of chicago were buying the stock.     coniston declined comment and the pritzkers had no comment.     traders said there was speculation a bidder might appear, and also that real estate developer donald trump, who holds a stake in ual, might participate in a takeover bid. ual pilots said they would be willing to pay 4.5 billion dlrs, which includes debt, for the company's united airlines unit.  reuter ;","('acq',)","('acq',)"
19,"pentron corp <pen> unit to buy ice creations pentron corp said its rotational molding inc unit has purchased privately held ice creations unlimited for an undisclosed amount of cash and other considerations.     the company said ice creations had sales of 1.2 mln dlrs in the year ended may 31, 1986.     ice creations is a molder of plastics.  reuter ;","('acq',)","('acq',)"
20,"burlington <bur> hearing to continue tomorrow u.s. district court judge eugene a. gordon said he plans to issue a decision tomorrow on burlington industries inc's request for an injunction to stop samjens acquisition corp's takeover bid for the company.     wall street sources have said the outcome of the case could be pivotal in determining the winner in the fierce takeover battle for burlington, the largest u.s. textile maker.     gordon presided over six hours of argument today by lawyers for burlington and samjens, a partnership formed by dominion textile inc and new york investor asher edelman.     hearings are scheduled to continue tomorrow. a preliminary injunction would hold up samjens 2.47 billion dlr offer until the case is decided.     burlington had previously agreed to a 2.44 billion dlr buyout from morgan stanley group inc <ms>, one dlr per share lower than a sweetened 77 dlr per share bid made by samjens last week. burlington has not responded to the new samjens offer.     burlington has alleged in its lawsuit that edelman and dominion used illegally obtained confidential information about the company in making their takeover attempt.       that information, burlington said, was provided by james ammeen, a former burlington executive, through painewebber group inc <pwj>. ammeen, who had worked for burlington for 23 years, had as many as 12 divisions with 50 pct of burlington's sales reporting to him. when he left burlington in november, 1985, burlington said he signed a contract promising never to divulge inside information about the company.     burlington lawyers said shortly after he left he began working with a painewebber employee on a hostile plan to ""takeover the company, dismember the company and displace its management,"" burlington lawyer hubert humphrey said.     samjens lawyers acknowledged it received information from painewebber, but argued the information was public information and could be obtained either from texitle industry analysts or burlington's public financial statements.     burlington lawyers said painewebber and ammeen met with edelman and dominion in november and continued to meet with them until a couple of days before edelman and dominion went public april 24 with their intention to take over the company. burlington lawyers claim dominion's board decided to attempt a takeover of burlington after ammeen met with the board in february.     burlington lawyers said edelman and dominion held discussions with painewebber and ammeen about acting as financial advisers to samjens. but they allege talks broke off because painewebber and ammeen could not satisfy edelman and dominion with a written statement that they did not provide inside information.     lawyers for samjens contended that painewebber and ammeen withdrew as potential advisers because burlington chairman frank greenberg had called a painewebber executive and threatened legal action if painewebber got involved in an effort to takeover burlilgnton.     ""the ultimate question is not the price per share or the profit, but rather the permissable standards of conduct for those who would takeover an american company,"" said burlington lawyer humphrey.     burlington lawyers also contended that burlington, as the largest manufacturer of denim in the united states, would be in violation of anti-trust laws if it acquired dominion, canada's largest textile maker. dominion has denim manufacturing plants in georgia, which would reduce competition in the denim market, the lawyers said.     samjens' lawyers discounted the concern. they said the market for denim is more fragmented than burlington contends and that burlington has the ability to switch between light weight and heavy weight denim production as demand and price dictate.     samjens lawyers also pointed to a lawsuit filed by burlington in canada, in which it said it was considering a bid for dominion. ""surely, what would have been sauce for the goose would have been sauce for the gander,"" said sidney rosdeitcher, a samjens lawyer.  reuter ;","('acq',)","('acq',)"
21,"may department stores co raises dividend to 28-1/2 cts from 26 cts a share
","('earn',)","('earn',)"
22,"u.k. money market given further 442 mln stg help the bank of england said it provided the market with a further 442 mln stg assistance during the morning to offset a liquidity shortage it estimated at 1.60 billion stg, revised up from 1.55 billion     the bank bought outright eight mln stg of band one treasury bills and five mln stg of band one bank bills at 10-3/8 pct.     it bought a further 429 mln stg of bills for resale to the discount houses on april 2 at an interest rate of 10-7/16 pct.     so far today, the bank has given the market assistance worth a total of 1.501 billion stg.  reuter ;","('interest', 'money-fx')","('interest', 'money-fx')"
23,"fed's johnson says he does not see increasing pressure on interest rates
","('interest',)","('money-fx',)"
24,"oecd sees major adjustment for australia australia faces a major medium term adjustment to reduce debt and improve its economic performance, the organisation for economic cooperation and development said in its latest annual review of the australian economy.     it said australia had a current external deficit of 5-3/4 pct of gross domestic product, high and rapidly rising external debt equal to 30 pct of gdp, growing servicing costs and inflation above nine pct, far higher than that of other oecd countries.     a major policy change in early 1985 helped lay the basis for sustained non-inflationary growth and external competitiveness had improved, but economic performance overall had sharply deteriorated since june 1985.     a major shift of real resources to the external sector -- about 4-1/2 pct of gdp by 1990-91 -- was required for the economy to expand in line with potential, for employment to grow, and for the debt/gdp ratio to stabilize, it said.     success depended on the setting of right policies including tighter fiscal policy, a reduction in the public sector borrowing requirement and on private sector behaviour.     looking ahead over the next 18 months, the oecd expected economic performance to improve, partly as a result of tighter fiscal and monetary policy, and a substantial improvement in trade volumes.     it said positive gdp growth of three pct might be restored, the current external deficit could fall to some 4-1/2 pct of gdp by the first half of next year, while inflation was projected to decelerate to around five to 5-1/2 pct by mid-1988.     continued real wage moderation was essential to maintain the competitive edge created by the australian dollar's depreciation, and to maintain if not boost profit shares in order to encourage business investment.     the report urged australia to broaden its export base by developing viable and competitive service and manufacturing industries, and not count on a recovery of commodity markets to correct its external imbalances.     it added australia should reduce protection levels in manufacturing, even though faster trade liberalisation would no doubt hurt the most protected sectors of industry.  reuter ;","('gnp',)","('trade',)"
25,"gte <gte> cites loss of sprint gte corp said the decline in its first quarter net income reflects a 121 mln dlr loss from its 50 pct share ownership of u.s. sprint's operations.     this loss is an increase from the 60 mln dlrs loss reported on operations gte owned a year ago quarter and prior to entering a joint venture with united telecommunications <ut> in july 1986. under the joint venture, each company owns 50 pct of sprint.     earlier, the company reported net income declined to 265.0 mln dlrs from 283.0 mln dlrs in the first quarter a year ago.     theodore brophy, chairman of gte said, ""we expect us sprint's losses to diminish later this year as customer traffic migrates to the new fiber-optic network for long distance telecommunications.     the reason for the higher losses reflect lower prices as well as higher operating costs related, in part, to the fraudalent use of the network.     operating income of its telephone operations, which account for 91 pct of the total, rose eight pct to 736.0 mln dlrs.  revenues from telephone operations rose eight pct to 2.9 billion dlrs.  reuter ;","('earn',)","('earn',)"
26,"goodyear <gt> predicts first quarter net goodyear tire and rubber co said it expects to report earnings from continuing operations of over one dlr per share on 71.3 mln average shares outstanding.     in last year's first quarter the company lost 60.0 mln dlrs or 55 cts per share on 108.4 mln shares outstanding, after a 110.8 mln dlr writedown of oil reserves of its celeron corp unit.     goodyear said it will report first quarter results april 27.     goodyear chairman robert e. mercer also told the annual meeting that unless there is a major downturn in the economy, it expects to work its debt down to normal levels in three years through its restructuring and cash flow from improved margins.     the company set up its restructuring program to fend off a hostile takeover attempt by sir james goldsmith.  as part of the restructuring, goodyear executed a major stock buyback program that resulted in an increase in its debt.  reuter ;","('earn',)","('acq',)"
27,"rykoff-sexton inc <ryk> 3rd qtr jan 31 net shr 21 cts vs 28 cts     net 1,456,000 vs 1,925,000     sales 258.7 mln vs 290.2 mln     nine mths     shr 77 cts vs 1.10 dlrs     net 5,384,000 vs 7,658,000     sales 804.3 mln vs 760.1 mln  reuter ;","('earn',)","('earn',)"
28,"rochester community savings bank <rcsb.o> 2nd second quarter ended may 31.     shr 27 cts vs na     net 3,560 mln vs 2,389,000     six mths     shr 57 cts vs na     net 7,881,000 vs 5,415,000     note: year-ago per shr figures not available as bank converted to stock ownership april 29, 1986.         1987 2nd quarter and six mth net excludes 2,288,000 dlrs or 17 cts a share and 4,648,000 dlrs or 33 cts a share, respectively, for tax carryforwards.     1986 2nd qtr and six mth net excludes 667,000 dlrs and 3,043,000 dlrs, respectively, for tax carryforwards.  reuter ;","('earn',)","('earn',)"
29,"microdyne corp <mcdy.o> 2nd qtr may three net oper shr nil vs profit one ct     oper net profit 14,000 vs profit 51,000     revs 5,547,000 vs 6,021,000     six mths     oper shr loss nine cts vs profit seven cts     oper net loss 383,000 vs profit 314,000 dlrs     revs 9,31,000 dlrs vs 12.5 mln     note: 1986 qtr and six mths excludes loss 171,000 dlrs and 358,000 dlrs, respectively, for loss from discontinued operations.  reuter ;","('earn',)","('earn',)"
30,"scientific micro <smsi> sees higher revenues scientific micro systems inc said it expects first quarter revenues to rise by about 60 pct to 24 mln dlrs, compared with the 15 mln reported for the first quarter last year.     the company said it experienced revenue growth across all product lines during the quarter.     it also said revenue growth should continue during the year and the company should experience improved profitability in the second half when acquisition and new product introduction costs will not have a significant impact on earnings.  reuter ;","('earn',)","('earn',)"
31,financial security <fssla.o> to be acquired financial security savings and loan association said it signed a letter of intent for a controlling interest to be acquired by an investor group led by south florida developer william landa.     terms were not disclosed.  reuter ;,"('acq',)","('acq',)"
32,"dudley taft and narragansett capital to pursue taft broadcasting bid
","('acq',)","('acq',)"
33,"mtech <mtch> has 33,467 commercial shares mtech corp said it has received 33,467 shares of commercial resources corp in response to its 10.25 dlr per share tender offer for all 150,000 shares.     the company said it has extended the offer until july 2. it was to have expired yesterday.  reuter ;","('acq',)","('acq',)"
34,"health experts urge eradication of rinderpest world animal health experts called for a campaign to eradicate the lethal cattle disease rinderpest in bangladesh, bhutan, india, nepal and pakistan, a statement from a food and agriculture organization (fao) meeting here said.     some 230 mln dlrs is needed over two years to vaccinate the entire susceptible cattle population in bangladesh and pakistan and high-risk areas of the other three countries. in india some 240 mln cattle are estimated to be at risk from the disease.     the experts recommended the campaign be funded mostly by the governments of the five nations, with help from the fao. similar campaigns are needed in egypt, yemen, iraq and iran.  reuter ;","('l-cattle', 'livestock')","('grain', 'wheat')"
35,"bangladesh's payments deficit narrows in october bangladesh recorded an overall balance of payments deficit of 8.3 mln u.s. dlrs in october against a 10.33 mln deficit in september and a 6.67 mln surplus in october 1985, central bank officials said.     the country's current account deficit narrowed to 10.69 mln dlrs in october from 79 mln in september and 11.75 mln in october 1985.     the october trade deficit narrowed to 36.36 mln dlrs from 160 mln in september and 83.79 mln in october 1985.  reuter ;","('bop', 'trade')","('trade',)"
36,"bank of france cuts intervention rate the bank of france said it cut its money market intervention rate to 7-3/4 pct from eight pct when it injected money against first category paper.     the bank also cut its seven-day repossession rate to 8-1/2 pct from 8-3/4 pct.     the intervention rate has stood at eight pct since it was raised from 7-1/4 pct on january 2 as the french franc came under pressure ahead of the ems realignment on january 11.     the bank said the purchase, effective tomorrow, is for five pct of private paper and fixed rate treasury bills maturing between march 25 and june 25 and of other treasury bills maturing between march 25, 1987 and march 25, 1989.     the rate cut had been expected since the bank announced a money market intervention tender earlier today.     money market dealers said conditions seemed right for a quarter percentage point cut, reflecting an easing in the call money rate last week, and the french franc's steadiness on foreign exchange markets since the february 22 currency stabilisation accord here by the group of five and canada.  reuter ;","('interest', 'money-fx')","('interest', 'money-fx')"
37,"washington water power <wwp> 3rd qtr loss shr loss 12 cts vs profit two cts     net loss 2,669,000 vs profit 528,000     revs 79.8 mln vs 74.9 mln     nine mths     shr profit 64 cts vs profit 1.63 dlrs     net profit 14.3 mln vs profit 35.7 mln     revs 280.0 mln vs 288.8 mln  reuter ;","('earn',)","('earn',)"
38,"u.s. housing completions fell 0.2 pct in jan completions of new homes fell 0.2 pct in january to a seasonally adjusted rate of 1.884 mln units from 1.888 mln in december, the commerce department said.     the january fall came after a strong 6.4 pct rise from november's rate of 1.774 mln units and brought completions to 6.7 pct above the january, 1986, level of 1.765 mln units.     in january, completions of single-family units rose 0.4 pct to a seasonally adjusted 1.183 mln units from 1.178 mln units in december while multi-family units fell 1.3 pct to 701,000 units in january, the department said.  reuter ;","('housing',)","('housing',)"
39,atcor <atco> cuts dividend atcor inc said it cut its quarterly dividend to three cts per share from 12 cts because of depressed earnings.     the dividend is payable april 15 to holders of record april 6.     it said it will continue to review the dividend on a quarterly basis.  reuter ;,"('earn',)","('earn',)"
40,"johnson matthey's platinum group prices johnson matthey today issued the following platinum group base prices (unfabricated), all u.s. dlrs per troy ounce.  previous prices in parentheses.  platinum  -   562   (567)  palladium -   130   (130)  iridium   -   400   (400)  rhodium     1,230 (1,230)  ruthenium -    80    (80) ;","('palladium', 'platinum', 'strategic-metal')","('copper', 'gold', 'nickel', 'palladium', 'platinum')"
41,"dasa corp <dasa> year net shr profit three cts vs loss 11 cts     net profit 507,000 vs loss 1,823,000     revs 11.2 mln vs 204,000  reuter ;","('earn',)","('earn',)"
42,"applied solar energy corp <solr.o> 2nd qtr net qtr ended may 2     oper shr profit three cts vs loss five cts     oper net profit 115,000 dlrs vs loss 152,000     revs 7,652,000 vs 4,279,000     six mths     oper shr profit ten cts vs loss 34 cts     oper net profit 342,000 vs loss 1,149,000     revs 14.0 mln vs 7,398,000     note: oper data does not include extraordinary gain of 28,000 dlrs, or one ct per shr, in 2nd qtr 1987 or or 118,000 dlrs, or four cts per shr, in six mths.      reuter ;","('earn',)","('earn',)"
43,"decorator industries inc <dii> 4th qtr net ended jan three     shr profit five cts vs na     net profit 58,088 vs loss 279,718     revs 6,310,841 vs 5,468,893     year     shr profit 12 cts vs loss 74 cts     net profit 126,321 vs loss 773,090     revs 23.1 mln vs 19.1 mln     note: loss per share not given for quarter.  reuter ;","('earn',)","('earn',)"
44,"london gold morning fix highest since october gold bullion continued to move higher supported by good general buying and was fixed this morning at 436.50 dlrs, 268.368 stg, an ounce, up from friday's close of 432.00/50, dealers said.     the setting was the highest since october 8 as gold built on friday's gains, which had been based on the weakness of the dollar and fears of a trade war between the united states and japan.     it opened slightly firmer at 433.50/434.00 and moved up steadily during the morning supported by commission house and trade buying, dealers said.     dealers said there was resistance around 440.00 but with sentiment still firm some traders believe the rally may even take gold as high as 500 dlrs.     platinum was fixed this morning at 583.50 dlrs an ounce, up from friday's close of 578.50/580.50, and also the highest setting since october.  reuter ;","('gold', 'platinum')","('gold',)"
45,"bank of new york reaffirms terms for irving <v> the bank of new york corp <bk> said it reaffirmed the terms of its offer for irving bank corp despite the drop in the bank of new york's share price to 30-1/8, a bank of new york spokesman said.     ""the offer still stands, we have not changed our offer,"" a bank of new york spokesman said.     irving would not comment on how the drop in the market affects its position on the bid or whether it would buy back any of its own shares.     earlier this month, irving rejected the bid as inadequate and said it wanted to retain its independence.     in late september, bank of new york offered 80 dlrs per share in cash for 47.4 pct of irving. for the remaining 52.6 pct, it offered an exchange of 1.9 shares of its shares for one irving share.     at that time, the stock purchase portion was worth close to 80 dlrs per share, but now that portion is worth 53 dlrs per share for a net price of 68 dlrs, one analyst said.     according to the prospectus offer, shareholders may tender for all cash or all shares on a first come, first serve basis.     analysts were mixed about how the stock price drop would affect the acquisition.     ""if it gets to the irving shareholders, they would approve it, but irving hopes the offer won't go to the shareholders,"" said mark alpert, banking analyst with bear stearns cos inc.     ""and the market is saying the deal won't go through,"" alpert said.     ""the transaction looks highly unlikely to be completed at present. if irving wouldn't go with the offer at 80 dlrs a share, then they won't go at a lower price,"" another analyst said.     the analyst also doubted that bank of new york could afford to retain its original offer.     however, industry sources were more uncertain about prospects for the deal.     ""with irving's price so low, bank of new york's offer will look good to irving shareholders,"" said michael flores, a consultant at bank earnings international, a consulting firm.     the drop of irving's share to 44 dlrs per share, which is about a 26 dlr drop from the beginning of last week, increases the chance that bank of new york will succeed, flores said.     analysts said that the drop in bank stock prices is likely to depress the level of mergers and acquisition in the banking industry.     ""bank takeovers are less likely because banks can't use their own stock to make acquisitions because their share price is too depressed,"" alpert said.     since only banks can buy another bank, the only other possible acquirors would be a foreign bank, alpert said.     ""in the market drop the stock of acquirors got clobbered more than the acquirees,"" another analyst said.  reuter ;","('acq',)","('acq',)"
46,"bell petroleum <bpsiq> discusses reorganization bell petroleum services inc said it will continue to talk with regal international inc <rgl> about being acquired, but maintained it will pursue alternatives as part of its reorganization plan.     any plan of reorganization bell arrives at would be subject to approval by the u.s. bankruptcy court in midland, texas, bell said.     the agreement also terminates all current litigation between regal and bell involving previous reorganization plans, in which regal attempted to acquire bell, the company said.  reuter ;","('acq',)","('acq',)"
47,gotaas-larsen <gotlf> to build fifth carrier gotaas-larsen shipping corp said it had exercised an option to build a fifth in a series of crude oil carriers to be constructed by <daewoo shipbuilding and heavy machinery ltd> in south korea.  reuter ;,"('crude', 'ship')","('ship',)"
48,"japan's unemployment rate seen rising to 3.5 pct japan's unemployment rate is expected to continue to climb to about 3.5 pct within the next year from january's three pct record, senior economists, including susumu taketomi of industrial bank of japan, said.     december's 2.9 pct was the previous worst level since the government's management and coordination agency began compiling statistics under its current system in 1953.     ""there is a general fear that we will become a country with high unemployment,"" said takashi kiuchi, senior economist for the long-term credit bank of japan ltd.     the government, which published the january unemployment figures today, did not make any predictions.     ""at present we do not have a forecast for the unemployment rate this year, but it is difficult to foresee the situation improving,"" a labour ministry official said.     finance minister kiichi miyazawa said the government had expected the increase and had set aside money to help 300,000 people find jobs in fiscal 1987 beginning in april.     prime minister yasuhiro nakasone told a press conference the record rate underlines the need to pass the 1987 budget which has been held up by opposition to proposed tax reforms.     the yen's surge has caused layoffs in the mainstay steel and shipbuilding industries. other export-dependent industries, such as cars and textiles, have laid off part-time employees and ceased hiring, economists said.     although the growing service industry sector has absorbed a great number of workers the trend is starting to slow down, said koichi tsukihara, deputy general manager of sumitomo bank ltd's economics department.     however, other economists disagreed, saying the service sector would be able to hire workers no longer needed by the manufacturing sector over the next five years.  reuter ;","('jobs',)","('jobs',)"
49,"investment firm raises certron <crtn> stake louart corp, a los angeles investment firm, said it raised its stake in certron corp to 237,000 shares, or 7.8 pct of the total outstanding common stock, from 164,000 shares, or 5.4 pct.     in a filing with the securities and exchange commission, louart said it bought 73,000 certron shares between sept 9 and march 6 at a total of 109,315 dlrs a share.     it said its dealings in certron were for investment only, but said it might increase its stake. it said it has no plans to seek control of the company.  reuter ;","('acq',)","('acq',)"
50,"convest energy partners ltd <cep> 4th qtr loss shr loss 2.65 dlrs vs loss 2.31 dlrs     net loss 14.3 mln vs loss 12.5 mln     revs 2,887,000 vs 5,321,000     year     shr loss 4.38 dlrs vs loss 2.50 dlrs     net loss 23.7 mln vs loss 13.5 mln     revs 13.2 mln vs 22.4 mln     note: 1986 net includes oil and natural gas writedowns of 12.1 mln dlrs in quarter and 19.0 mln dlrs in year.  reuter ;","('earn',)","('earn',)"
51,"amvestors financial <avfc> sets stock dividend amvestors financial corp said it declared a 25 pct stock dividend payable june 19 to holders of record june one, subject to an increase in authorized shares.     it said shareholders will vote at the april 23 annual meeting to increase authorized shares to 25 mln from 10 mln.     the company also said it plans to pay an initial quarterly dividend of five cts a share on the shares.  reuter ;","('earn',)","('earn',)"
